Wall time,Step,Value
1710775885.1003113,5225,1.5393497943878174
1710775902.9481864,5238,1.4379745721817017
1710775923.715918,5253,1.461771011352539
1710775936.2507405,5262,1.488936424255371
1710775940.3485572,5265,1.5643175840377808
1710775981.5103705,5295,1.4993741512298584
1710776014.521955,5319,1.5223431587219238
1710776018.5591054,5322,1.5565481185913086
1710776021.237108,5324,1.4465173482894897
1710776026.6395912,5328,1.3655450344085693
1710776073.311135,5362,1.5125027894973755
1710776084.484251,5370,1.5326603651046753
1710776130.2772439,5403,1.3453441858291626
1710776187.4970882,5445,1.4103882312774658
1710776199.7569313,5454,1.322417974472046
1710776206.6435297,5459,1.4684410095214844
1710776268.1999404,5504,1.3364914655685425
1710776275.060267,5509,1.5002052783966064
1710776291.3894708,5521,1.43830144405365
1710776354.380445,5567,1.4925780296325684
1710776492.0618238,5667,1.4637682437896729
1710776578.396311,5730,1.5254355669021606
1710776617.1536138,5758,1.2518854141235352
1710776648.3526392,5781,1.4400142431259155
1710776717.9970458,5832,1.3818527460098267
1710776764.5024505,5866,1.3955447673797607
1710776782.6828964,5879,1.4098048210144043
1710776877.3928912,5948,1.3961552381515503
1710776888.3894696,5956,1.458899736404419
1710776899.227995,5964,1.4173665046691895
1710776922.453588,5981,1.4636043310165405
1710776944.4659224,5997,1.5165609121322632
1710776960.7176251,6009,1.3209176063537598
1710777009.6878917,6045,1.5532890558242798
1710777020.3864787,6053,1.4994908571243286
1710777054.5355759,6078,1.5591388940811157
1710777099.44683,6111,1.5494745969772339
1710777102.1643164,6113,1.472702980041504
1710777129.4181428,6133,1.520470142364502
1710777136.1761522,6138,1.5673044919967651
1710777138.8981621,6140,1.5688854455947876
1710777141.550995,6142,1.5096850395202637
1710777256.2473273,6225,1.3199622631072998
1710777280.7918723,6243,1.4466978311538696
1710777330.013843,6279,1.3674159049987793
1710777332.7072783,6281,1.534489393234253
1710777358.5356565,6300,1.4375394582748413
1710777402.2572927,6332,1.4360716342926025
1710777404.9762821,6334,1.439646601676941
1710777437.6004598,6358,1.475389003753662
1710777438.9491045,6359,1.5453085899353027
1710777445.8206615,6364,1.4465986490249634
1710777452.5414102,6369,1.5096911191940308
1710777594.3375294,6473,1.4534279108047485
1710777618.9420319,6491,1.5368733406066895
1710777669.3789277,6528,1.4977895021438599
1710777673.620733,6531,1.50185227394104
1710777694.0039184,6546,1.4070115089416504
1710777700.850375,6551,1.4482660293579102
1710777718.651308,6564,1.5250109434127808
1710777725.3568501,6569,1.5122425556182861
1710777747.1051466,6585,1.3993234634399414
1710777753.969125,6590,1.4448140859603882
1710777766.2416074,6599,1.4295551776885986
1710777787.9382763,6615,1.4751888513565063
1710777834.2334478,6649,1.407626748085022
1710777867.3806033,6673,1.1449484825134277
1710777931.6276708,6720,1.5087974071502686
1710777945.239914,6730,1.461272120475769
1710777950.6353972,6734,1.490111231803894
1710777972.39245,6750,1.4165161848068237
1710777987.3183923,6761,1.4226901531219482
1710778043.806402,6802,1.327750325202942
1710778098.5893831,6842,1.4373104572296143
1710778109.4758341,6850,1.4353145360946655
